61,英语起步（附盘）,978-7-5427-3667-6,19.8,9999,人民文学出版社,何少杰主编
62,寓言故事（附盘）,978-7-5427-3667-7,19.8,9999,人民文学出版社,何少杰主编
63,儿童学唐诗（附盘）,978-7-5427-3667-8,19.8,9999,人民文学出版社,何少杰主编
64,每天好故事（附盘）,978-7-5427-3667-9,19.8,9999,人民文学出版社,何少杰主编
65,安徒生童话（附盘）,978-7-5427-3667-10,19.8,9999,人民文学出版社,何少杰主编
66,拼音起步（附盘）,978-7-5427-3667-11,19.8,9999,人民文学出版社,何少杰主编
67,365夜故事（附盘）,978-7-5427-3667-12,19.8,9999,人民文学出版社,何少杰主编
68,幼儿益智识字卡片(6盒),978-7-5427-3917-9,60,9999,人民文学出版社,《幼儿益智识字卡》编写组编著
69,幼儿园音乐课程（5～6岁）,978-7-5427-4389-3,15,9999,人民文学出版社,池海　主编
70,幼儿园美术课程（2～3岁）,978-7-5427-4394-7,15,9999,人民文学出版社,池海　主编
71,幼儿园舞蹈课程（3～4岁）,978-7-5427-4391-6,15,9999,人民文学出版社,池海　主编
72,幼儿园音乐课程（4～5岁）,978-7-5427-4388-6,15,9999,人民文学出版社,池海　主编
73,幼儿园美术课程（4～5岁）,978-7-5427-4396-1,15,9999,人民文学出版社,池海　主编
74,幼儿园音乐课程（3～4岁）,978-7-5427-4387-9,15,9999,人民文学出版社,池海　主编
75,幼儿园美术课程（5～6岁）,978-7-5427-4397-8,15,9999,人民文学出版社,池海　主编
76,幼儿园舞蹈课程（5～6岁）,978-7-5427-4393-0,15,9999,人民文学出版社,池海　主编
77,幼儿园美术课程（3～4岁）,978-7-5427-4395-4,15,9999,人民文学出版社,池海　主编
78,幼儿园舞蹈课程（2～3岁）,978-7-5427-4390-9,15,9999,人民文学出版社,池海　主编
79,幼儿园舞蹈课程（4～5岁）,978-7-5427-4392-3,15,9999,人民文学出版社,池海　主编
80,幼儿园音乐课程（2～3岁）,978-7-5427-4386-2,15,9999,人民文学出版社,池海　主编
81,宝宝观察力训练(全四册),978-7-5427-4343-5,36,9999,人民文学出版社,林怡育儿工作室编著
82,小学生最新分类作文大全,978-7-5427-3258-3,18,9999,人民文学出版社,马丽静  总主编
83,小学生最新话题作文阳光宝典,978-7-5427-3831-8,25,9999,人民文学出版社,金松来主编
84,小学生最新分类作文阳光宝典,978-7-5427-3769-4,25,9999,人民文学出版社,金松来主编
85,英语国际音标入门,978-7-5427-1091-8,14.8,9999,人民文学出版社,张晓静  等
86,张晴魔力音标（儿童版）,7-5427-2999-3,15.8,9999,人民文学出版社,张晴 主编
87,新编英语国际音标入门（彩色）,978-7-5427-3727-4,14.8,9999,人民文学出版社,康志峰
88,新世纪历年全国小学语奥大赛试题详答,978-7-5427-3231-6,15,9999,人民文学出版社,郭耀水  等主编
89,新世纪历年全国小学数学奥林匹克题解,978-7-5427-3232-3,15,9999,人民文学出版社,郭耀水，郭帅兵  主编
90,小学生满分高分作文阳光宝典,978-7-5427-3670-3,25,9999,人民文学出版社,卓文主编
91,小学生获奖作文阳光宝典,978-7-5427-3779-3,25,9999,人民文学出版社,金松来主编
92,小学生最新好词好句好段大全,978-7-5427-3257-6,19.8,9999,人民文学出版社,马丽静  总主编
93,小学生好词妙句精彩段,978-7-5427-2864-7,26,9999,人民文学出版社,张溦  编写
94,新话题作文满分通典大全,7-5427-3366-4,22,9999,人民文学出版社,沈士军  主编
95,教你天天动脑筋（五年级）（双色）,7-5427-2797-4,15,9999,人民文学出版社,柴常龙  周鸿兴  主编
96,教你天天动脑筋（四年级）（双色）,7-5427-3498-9,15,9999,人民文学出版社,柴常龙  周鸿兴  主编
97,教你天天动脑筋（三年级）（双色）,7-5427-3497-0,15,9999,人民文学出版社,柴常龙  周鸿兴  主编
98,教你天天动脑筋（二年级）（双色）,7-5427-3512-8,16,9999,人民文学出版社,柴常龙  周鸿兴  主编
99,教你天天动脑筋（一年级）（双色）,7-5427-3511-X,15,9999,人民文学出版社,柴常龙  周鸿兴  主编
100,常用歇后语词典,978-7-5427-3081-7,16,9999,人民文学出版社,沈慧云  主编
101,常用谚语词典,978-7-5427-3078-7,10,9999,人民文学出版社,孙立群  等编
102,常用反义词词典,7-5427-3071-1,10,9999,人民文学出版社,姜心  编写
103,常用成语词典,978-7-5427-3065-7,15,9999,人民文学出版社,傅玉芳  编写
104,常用同义词词典,7-5427-3072-X,10,9999,人民文学出版社,姜心  编写
105,小学生限字作文,978-7-5427-4071-7,16.8,9999,人民文学出版社,盛娟主编
106,小学生注音作文,978-7-5427-4072-4,16.8,9999,人民文学出版社,盛娟主编
107,小学生作文从零起步大全,978-7-5427-4069-4,16.8,9999,人民文学出版社,盛娟主编
108,小学生看图作文,978-7-5427-4070-0,16.8,9999,人民文学出版社,盛娟主编
109,小学数学奥林匹克训练指导（六年级）,978-7-5427-4144-8,18,9999,人民文学出版社,周鸿兴主编
110,小学数学奥林匹克训练指导（五年级）,978-7-5427-4148-6,18,9999,人民文学出版社,周鸿兴主编
111,小学数学奥林匹克训练指导（四年级）,978-7-5427-4147-9,18,9999,人民文学出版社,周鸿兴主编
112,小学数学奥林匹克训练指导（三年级）,978-7-5427-4146-2,16,9999,人民文学出版社,周鸿兴
113,小学数学奥林匹克训练指导（一～二年级）,978-7-5427-4145-5,19.8,9999,人民文学出版社,周鸿兴等主编
114,经典唐诗钢笔字贴,978-7-5427-4043-4,15,9999,人民文学出版社,吕纯览
115,新编英语口语入门,978-7-5427-4056-4,14.8,9999,人民文学出版社,康志峰
116,新课标小学分类作文大全,978-7-5427-3822-6,12,9999,人民文学出版社,朱福生
117,新课标小学生满分作文大全,978-7-5427-3879-0,15,9999,人民文学出版社,朱福生主编
118,小学数学智能训练（一年级）,978-7-5427-4113-4,25,9999,人民文学出版社,周鸿兴
119,新编趣味数学ABC(三～四年级),978-7-5427-4296-4,13,9999,人民文学出版社,柴常龙，周鸿兴主编
120,新编趣味数学ABC（五～六年级）,978-7-5427-4297-1,15,9999,人民文学出版社,常柴龙，周鸿兴主编
121,新编趣味数学ABC(一～二年级),978-7-5427-4295-7,15,9999,人民文学出版社,柴常龙，周鸿兴主编
122,新课标高中化学活学活用表解一点通,978-7-5427-4246-9,30,9999,人民文学出版社,陆葆谦
123,初中专项训练新设计-单项选择（中考）,978-7-5427-4301-5,14.5,9999,人民文学出版社,李保卫
124,初中专项训练新设计·阅读理解（中考）,978-7-5427-4323-7,14.5,9999,人民文学出版社,陈占勇 李保卫主编
125,初中专项训练新设计·完形填空（九年级）,978-7-5427-4321-3,14.5,9999,人民文学出版社,陈占勇　 李保卫主编
126,初中专项训练新设计·阅读理解（九年级）,978-7-5427-4314-5,14.5,9999,人民文学出版社,李保卫 主编
127,初中专项训练新设计·完形填空（八年级）,978-7-5427-4320-6,14.5,9999,人民文学出版社,陈占勇 李保卫主编
128,初中专项训练新设计·语法（中考）,978-7-5427-4307-7,14.5,9999,人民文学出版社,李保卫主编
129,初中专项训练新设计·阅读理解（七年级）,978-7-5427-4319-0,14.5,9999,人民文学出版社,李保卫 主编
130,初中专项训练新设计·完形填空（七年级）,978-7-5427-4318-3,14.5,9999,人民文学出版社,李保卫 主编
131,初中专项训练新设计·阅读理解（八年级）,978-7-5427-4317-6,16,9999,人民文学出版社,陈占勇 李保卫主编
132,初中专项训练新设计·完形填空（中考）,978-7-5427-4322-0,14.5,9999,人民文学出版社,陈占勇 李保卫
133,高中组合训练新设计·阅读理解与完形填空（高一）,978-7-5427-4355-8,15.5,9999,人民文学出版社,陈占勇主编
134,高中组合训练新设计·阅读理解与完形填空（高考）,978-7-5427-4356-5,16.5,9999,人民文学出版社,陈占勇主编
135,高中组合训练新设计·阅读理解与完形填空（高一）,978-7-5427-4354-1,15.5,9999,人民文学出版社,陈占勇主编
136,初中组合训练新设计·阅读理解与完形填空（中考）,978-7-5427-4353-4,14.5,9999,人民文学出版社,李保卫主编
137,初中组合训练新设计英语·阅读理解与完形填空（九年级）,978-7-5427-4352-7,14.5,9999,人民文学出版社,李保卫主编
138,组合训练新设计·阅读理解与完形填空（八年级）,978-7-5427-4351-0,14.5,9999,人民文学出版社,李保卫主编
139,初中组合训练新设计·阅读理解与完形填空（七年级）,978-7-5427-4350-3,14.5,9999,人民文学出版社,李保卫主编
140,高中专项训练新设计·阅读理解（高一）,978-7-5427-4315-2,15.5,9999,人民文学出版社,陈占勇 李保卫主编
141,初中命题作文大视野,978-7-5427-4311-4,18,9999,人民文学出版社,刘弢 吕春昕主编
142,初中半命题作文大视野,978-7-5427-4327-5,18,9999,人民文学出版社,刘弢　吕春昕主编
143,初中生话题作文大视野（基础篇）,978-7-5427-4329-9,18,9999,人民文学出版社,刘弢　吕春昕主编
144,初中生话题作文大视野（突破篇）,978-7-5427-4326-8,18,9999,人民文学出版社,刘弢　吕春昕主编
145,初中生话题作文大视野（提高篇）,978-7-5427-4330-5,18,9999,机械工业出版社,刘弢　吕春昕主编
